,title,company,salary,location
88,DATA GOVERNANCE SPECIALIST,AENEAS Srl,Tempo pieno +1,"Udine, Friuli-Venezia Giulia"
89,Strategy business analyst,Alyant,Tempo pieno,37122 Verona
90,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
91,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
92,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
93,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
94,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
95,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
96,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
97,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
98,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
99,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
100,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
101,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
102,Junior Data Analyst / Data Scientist (ambito Telco),Risorse SpA,Tempo indeterminato,20121 Milano
103,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
104,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
105,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
106,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
107,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
108,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
109,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
110,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
111,Junior Business Analyst,Dot Academy srl,Tempo pieno,27100 Pavia
